id,name,salary,promotion,phonenumber,datausage,subdistrict,data,call,call usage,age,date,Net Over limit,Call Over limit,STATUS
2204,Freddy Osinski,50000,390,863011374,27,หัวหนอง,10,100,162,32,18/4/2018 21:27,17,62,TX
2205,Mr. Orin O'Keefe,15000,590,821474332,49,ศาลาลำดวน,20,200,780,24,28/10/2018 03:53,29,580,OK
2206,Dr. Javonte Kling,20000,590,811304143,34,ปากคลอง,20,200,213,54,17/8/2018 10:27,14,13,TX
2207,Mrs. Sallie Grimes PhD,12000,390,822149495,41,หนองตะไก้,10,100,731,16,12/10/2018 06:50,31,631,OK
2208,Mr. Estevan Walker Sr.,30000,390,838046653,20,บางตะบูนออก,10,100,336,42,9/7/2018 16:11,10,236,OK
2209,Cody Grady II,50000,1090,827839847,4,กู่สันตรัตน์,50,500,425,45,16/4/2018 06:30,0,0,OK
2210,Pierce Maggio,50000,1090,824551743,11,ควนหนองหงษ์,50,500,271,39,2/10/2018 07:36,0,0,OK
2211,Deonte Ryan,30000,590,846747980,10,ช่างเหล็ก,20,200,205,51,5/4/2018 10:53,0,5,OK
2212,Fredy Heaney,30000,390,862494798,2,ตลิ่งงาม,10,100,320,30,17/11/2018 07:27,0,220,OK
2213,Jedidiah Dicki,20000,390,831145837,10,ยางนอน,10,100,249,31,9/1/2019 17:32,0,149,OK
2214,Otto Bauch,18000,390,811226458,6,นาดี,10,100,638,20,16/3/2018 18:23,0,538,OK
2215,Damian Fritsch PhD,30000,590,844567192,31,บ้านโพธิ์,20,200,527,30,18/2/2018 01:32,11,327,OK
2216,Mia Pouros,50000,890,873977651,5,สาวะถี,30,300,11,52,4/12/2018 20:19,0,0,OK
2217,Polly Goyette,30000,890,844335107,29,บางพรม,30,300,68,30,7/12/2018 01:47,0,0,OK
2218,Blaise Cruickshank,50000,590,850794763,16,ดอนทอง,20,200,299,38,10/3/2018 08:38,0,99,OK
2219,Mr. Eugene Nikolaus II,18000,890,890174632,31,อ่างทอง,30,300,295,27,5/11/2018 11:09,1,0,OK
2220,Evie Legros,20000,1090,842447276,47,ท่าแร่,50,500,519,41,13/5/2018 02:05,0,19,OK
2221,Chaz Borer,12000,1090,816535214,5,หนองตอง,50,500,116,17,31/8/2018 11:10,0,0,OK
2222,Enola Hauck MD,50000,390,873683677,7,วังขนาย,10,100,9,32,4/11/2018 17:06,0,0,OK
2223,Mrs. Zora Waters,50000,890,891847266,9,ก้านเหลือง,30,300,239,30,20/2/2018 16:04,0,0,OK
2224,Deion O'Keefe,50000,1090,816871390,26,สาหร่าย,50,500,415,41,2/7/2018 02:55,0,0,OK
2225,Winston Murray,20000,890,815571063,48,โพนงาม,30,300,538,46,13/12/2018 01:31,18,238,OK
2226,Carmel Cartwright,25000,890,892817622,12,สองพี่น้อง,30,300,113,34,10/10/2018 06:32,0,0,OK
2227,Casey Roob,15000,1090,863667630,48,โนนยอ,50,500,450,22,20/9/2018 09:57,0,0,OK
2228,Jeramy Greenfelder,25000,590,860285518,8,โพธิ์,20,200,241,37,19/12/2018 13:57,0,41,OK
2229,Saige Wiza,30000,590,818166660,5,ท่าแลง,20,200,787,47,4/12/2018 05:38,0,587,OK
2230,Ms. Eveline Rippin Jr.,15000,390,892442067,41,เกาะสาหร่าย,10,100,99,23,25/1/2019 17:59,31,0,OK
2231,Santino O'Keefe III,25000,1090,887605833,26,บ่อผุด,50,500,723,56,31/8/2018 15:18,0,223,OK
2232,Manley Streich,18000,390,831850786,26,เก่ากลอย,10,100,432,26,25/7/2018 20:27,16,332,OK
2233,Cornell Brown,50000,390,828827090,8,บางประแดง,10,100,627,56,10/6/2018 19:27,0,527,OK
2234,Dr. Marcelino Crona,20000,590,870313097,32,ท่ามะเขือ,20,200,115,38,23/7/2018 05:00,12,0,OK
2235,Brennan Kris II,25000,390,876944686,8,นายาง,10,100,611,37,2/10/2018 04:00,0,511,OK
2236,Cleveland Medhurst Jr.,15000,890,854246678,8,สระแก้ว,30,300,231,16,24/7/2018 11:44,0,0,OK
2237,Prof. Justen Lubowitz MD,30000,590,890991038,30,บ้านพร้าว,20,200,404,31,16/3/2018 00:09,10,204,OK
2238,Conner Considine,30000,390,822646509,36,น้ำเกี๋ยน,10,100,604,36,1/10/2018 06:54,26,504,OK
2239,Tyrell Fahey,30000,390,836363111,7,สะเอียบ,10,100,472,33,19/12/2018 11:35,0,372,OK
2240,Ms. Heath Watsica,50000,890,830037486,20,ยางสูง,30,300,718,40,12/2/2018 10:54,0,418,OK
2241,Dr. Guy Reichel,25000,890,830686261,41,ปางตาไว,30,300,284,48,23/9/2018 05:05,11,0,OK
2242,Mrs. Marilyne Prosacco,50000,590,848929354,41,นาถ่อน,20,200,299,40,7/3/2018 22:44,21,99,OK
2243,Isadore Abernathy,50000,1090,827507629,9,ตากแดด,50,500,438,32,24/4/2018 23:55,0,0,OK
2244,Prof. Brock Monahan,25000,1090,826353911,14,เทพรักษา,50,500,32,34,17/10/2018 00:54,0,0,OK
2245,Joanny Emmerich,12000,590,837818261,15,คลองชะอุ่น,20,200,727,25,16/1/2019 22:38,0,527,OK
2246,Dr. Dejuan Stiedemann I,12000,890,813074808,4,ทุ่งพึ่ง,30,300,683,16,15/7/2018 05:27,0,383,OK
2247,Emilie O'Reilly,20000,1090,876988131,12,ควนรู,50,500,92,22,11/1/2019 17:55,0,0,OK
2248,Ms. Kiarra Shanahan,20000,590,858858483,34,บ้านเสียว,20,200,473,56,7/6/2018 06:28,14,273,OK
2249,Cynthia Conroy I,15000,1090,854953364,41,อัยเยอร์เวง,50,500,62,23,6/3/2018 18:04,0,0,OK
2250,Alek Abernathy,20000,390,810787214,5,นายูง,10,100,243,44,12/9/2018 09:40,0,143,OK
2251,Dr. Ray Corkery III,25000,390,847094669,40,ตาดกลอย,10,100,320,60,10/9/2018 19:59,30,220,OK
2252,Wilhelm Nikolaus,50000,890,865530059,26,เกาะพระทอง,30,300,472,54,20/8/2018 20:21,0,172,OK
2253,Dashawn Hauck,30000,1090,871250375,48,หนองฝ้าย,50,500,689,31,28/4/2018 16:17,0,189,OK
2254,Catalina Schaefer,20000,1090,881745033,33,หินกอง,50,500,30,21,22/8/2018 20:22,0,0,OK
2255,Erling Koch,20000,1090,876692266,47,ป่าคาย,50,500,615,53,26/7/2018 13:13,0,115,OK
2256,Lonzo Greenholt,15000,1090,839064884,23,บ้านโนน,50,500,547,22,29/9/2018 16:48,0,47,TX
2257,Mr. Moriah Ebert MD,20000,390,872624651,38,เกาะลันตาน้อย,10,100,364,40,24/9/2018 08:51,28,264,OK
2258,Kip Pouros,50000,890,873769250,41,ต้าผามอก,30,300,227,31,9/11/2018 17:32,11,0,OK
2259,Gladys Jenkins,20000,890,856016254,48,เกาะนก,30,300,314,53,30/1/2019 14:53,18,14,TX
2260,Reba Prohaska Sr.,50000,890,877409158,45,บางหลวง,30,300,44,43,26/4/2018 07:48,15,0,TX
2261,Dr. Axel Gleason V,50000,590,863716596,47,สุขสวัสดิ์,20,200,123,47,27/6/2018 02:46,27,0,TX
2262,Coty Casper,30000,890,873151263,6,เกาะหมาก,30,300,759,32,26/9/2018 05:07,0,459,TX
2263,Elmira Thiel,50000,890,866187834,5,ดอนไผ่,30,300,547,50,3/6/2018 00:08,0,247,OK
2264,Braxton Jacobs,18000,590,850376135,31,น้ำจืดน้อย,20,200,508,22,20/11/2018 05:08,11,308,OK
2265,Ms. Celestine Bergstrom,25000,590,870857662,50,บ้านนา,20,200,499,48,26/5/2018 10:18,30,299,OK
2266,Green Powlowski,20000,890,894405791,33,เกาะจัน,30,300,59,56,29/5/2018 15:22,3,0,OK
2267,Florine Gerlach,15000,390,877951157,26,วัดขนุน,10,100,646,16,22/9/2018 03:41,16,546,OK
2268,Dr. Kaitlyn Johns,20000,390,816237529,15,โนนหมากมุ่น,10,100,155,59,27/10/2018 13:06,5,55,OK
2269,Aidan Tillman,18000,890,847015358,39,หนองแค,30,300,327,20,14/6/2018 10:01,9,27,OK
2270,Aaliyah Hammes,20000,590,895691418,18,สุเทพ,20,200,664,54,5/5/2018 17:08,0,464,TX
2271,Mossie Crooks,30000,590,849405469,43,ชัยนาท,20,200,313,55,23/2/2018 22:16,23,113,TX
2272,Ms. Ashtyn Farrell,20000,1090,862477715,23,ตาเครียะ,50,500,482,26,11/6/2018 21:47,0,0,OK
2273,Horacio Feest Jr.,18000,890,863098125,37,อ่าวนาง,30,300,721,25,3/1/2019 17:45,7,421,OK
2274,Ellie Metz,20000,890,880038456,27,มะขามเฒ่า,30,300,236,44,19/7/2018 20:21,0,0,TX
2275,Dr. Dedrick Wisozk,50000,890,865866520,37,โคกมะม่วง,30,300,157,43,26/10/2018 20:24,7,0,TA
2276,Dr. Everett Boehm I,25000,890,822991265,44,ชายนา,30,300,771,35,19/10/2018 21:32,14,471,TX
2277,Mylene Gleichner,50000,590,816551772,20,ตรอกนอง,20,200,139,54,26/3/2018 18:51,0,0,OK
2278,Retha Harris,50000,390,857077329,8,เมืองบางยม,10,100,267,31,29/9/2018 09:18,0,167,OK
2279,Ms. Beverly Schulist MD,12000,890,836840826,33,ดอยลาน,30,300,617,25,12/7/2018 22:52,3,317,OK
2280,Alford Kozey,30000,890,850034590,8,นาแก,30,300,566,53,24/2/2018 06:06,0,266,OK
2281,Sadye Jaskolski,50000,890,841009021,35,บึงเกลือ,30,300,1,60,9/5/2018 18:07,5,0,TX
2282,Brook Rodriguez Jr.,50000,390,853937432,47,ย่านซื่อ,10,100,362,41,13/6/2018 22:50,37,262,TA
2283,Sammie Runolfsson,12000,390,849203899,17,หนองกะขะ,10,100,58,29,7/5/2018 19:29,7,0,OK
2284,Prof. Elliot Sporer,25000,590,850195620,30,หัวตะพาน,20,200,782,52,11/9/2018 17:58,10,582,OK
2285,Ross Sipes,15000,890,891927970,36,ห้วยน้ำขาว,30,300,457,18,18/10/2018 05:49,6,157,TX
2286,Arnulfo Osinski,20000,590,849565054,18,ลำผักกูด,20,200,502,24,22/3/2018 13:39,0,302,OK
2287,Xzavier Zboncak,18000,1090,810001546,32,แม่นาจาง,50,500,500,25,30/12/2018 23:13,0,0,TX
2288,Brown Wintheiser,25000,590,866587446,38,แม่ตืน,20,200,592,60,4/4/2018 06:59,18,392,OK
2289,Sandra Johnson Jr.,30000,390,819329722,12,บางสน,10,100,374,37,13/3/2018 05:29,2,274,OK
2290,Gaylord Schroeder,25000,1090,863426813,22,ท้องลำเจียก,50,500,40,44,28/9/2018 03:17,0,0,TX
2291,Anibal Christiansen,20000,590,846246109,36,ห้วยแห้ง,20,200,517,34,11/1/2019 21:49,16,317,OK
2292,Sonny Murray III,15000,590,862664206,40,วังควง,20,200,354,29,7/9/2018 04:58,20,154,TX
2293,Miss Christa Jerde V,50000,890,874791564,31,เอือดใหญ่,30,300,503,55,3/12/2018 19:51,1,203,OK
2294,Trevion Towne,18000,890,839079585,34,เกาะสาหร่าย,30,300,349,15,12/6/2018 09:22,4,49,OK
2295,Melba Doyle,50000,590,874593291,26,ตาเกา,20,200,750,32,20/8/2018 22:58,6,550,OK
2296,Dejon Haley DVM,25000,390,821341583,10,หนองสิม,10,100,256,45,19/12/2018 11:28,0,156,OK
2297,Mrs. Alta Dickinson,25000,390,846657166,7,วังทอง,10,100,276,34,6/6/2018 22:30,0,176,OK
2298,Eli Kessler,30000,1090,858750870,14,สุรศักดิ์,50,500,70,55,23/7/2018 06:00,0,0,OK
2299,Lola Cruickshank,18000,890,825861685,13,นากอก,30,300,385,28,30/11/2018 09:10,0,85,OK
2300,Vickie Leannon,20000,1090,837849024,2,หนองใหญ่,50,500,644,32,16/4/2018 09:31,0,144,OK
2301,Ms. Julianne Nader Jr.,50000,390,891502042,21,ตะลุปัน,10,100,280,33,17/7/2018 09:43,11,180,OK
2302,Elvie Predovic,50000,1090,868726213,36,วังคัน,50,500,748,38,10/4/2018 19:08,0,248,OK
2303,Mr. Milton Dooley,20000,390,842052252,8,ปากคลอง,10,100,483,59,27/3/2018 10:25,0,383,OK
2304,Keaton Volkman,20000,390,865213229,7,นาดี,10,100,462,34,9/2/2019 10:15,0,362,TX
2305,Nyah Kuhic,20000,890,812571718,15,ชุมโค,30,300,163,40,5/9/2018 23:46,0,0,OK
2306,Rosella Brown,18000,390,813769531,10,บึงกระจับ,10,100,410,24,15/12/2018 09:25,0,310,OK
2307,Elnora Jacobs PhD,20000,1090,832154169,41,สันติสุข,50,500,529,48,3/4/2018 13:57,0,29,OK
2308,Eleanore Will V,15000,1090,847738487,35,กุดกว้าง,50,500,380,24,17/2/2018 18:26,0,0,OK
2309,Chadd Ernser,25000,890,838838084,50,โคกก่อง,30,300,104,34,16/3/2018 01:50,20,0,TX
2310,Carey Huel I,30000,1090,824858101,14,ปากแพรก,50,500,541,30,16/1/2019 02:11,0,41,OK
2311,Annabel Jacobi,20000,1090,896072202,27,วังทรายคำ,50,500,657,26,2/2/2019 15:08,0,157,TX
2312,Ericka Larkin,30000,1090,824827429,31,แม่จั๊วะ,50,500,693,30,21/8/2018 17:57,0,193,TX
2313,Amya Spencer,20000,1090,831921176,44,บ้านหลวง,50,500,287,47,4/11/2018 14:03,0,0,TX
2314,Christina Olson,30000,890,872695748,31,บึงทองหลาง,30,300,692,30,5/9/2018 17:45,1,392,OK
2315,Haven Bailey,25000,1090,848638928,8,คลองขวาง,50,500,568,48,17/7/2018 09:06,0,68,OK
2316,Prof. Frankie Stracke,25000,390,886626703,39,โชคเหนือ,10,100,345,36,13/3/2018 16:05,29,245,OK
2317,Oma Stehr,18000,1090,829974033,18,กุดแข้,50,500,511,27,29/8/2018 19:25,0,11,TX
2318,Jayda Reichel IV,30000,390,873859996,15,ศาลากลาง,10,100,704,41,31/8/2018 09:34,5,604,OK
2319,Anissa Lynch,50000,1090,847960438,6,กะมัง,50,500,245,55,1/7/2018 02:34,0,0,OK
2320,Geovanny Rodriguez,30000,1090,873348786,36,สนามชัย,50,500,205,56,6/7/2018 02:37,0,0,OK
2321,Jasper Cremin,50000,1090,823908433,2,ไทยอุดม,50,500,719,54,4/12/2018 06:37,0,219,TX
2322,Bette Fadel Sr.,25000,890,811690090,4,ฆะมัง,30,300,268,53,19/11/2018 03:21,0,0,OK
2323,Dr. Keyshawn Thompson,20000,890,887302687,20,ชมสะอาด,30,300,170,38,30/7/2018 09:23,0,0,OK
2324,Hayden Kuphal,15000,890,857801924,25,คลองทรายขาว,30,300,356,22,14/5/2018 09:21,0,56,OK
2325,Lynn DuBuque,25000,590,873518043,9,เมืองเก่า,20,200,790,50,21/1/2019 18:35,0,590,OK
2326,Keyon O'Connell,50000,1090,822019433,2,คูหาใต้,50,500,249,31,1/10/2018 13:04,0,0,OK
2327,Dr. Josie Predovic,20000,890,845814932,28,ป่าคาย,30,300,411,59,21/11/2018 16:40,0,111,OK
2328,Miracle Nitzsche,30000,890,835934439,23,วังตะคร้อ,30,300,778,41,3/1/2019 10:47,0,478,OK
2329,Ms. Fannie Lind,50000,890,874436182,47,หมากแข้ง,30,300,444,43,25/2/2018 16:31,17,144,OK
2330,Stevie Murray,30000,890,874305417,15,ราษฎร์นิยม,30,300,734,35,15/11/2018 10:06,0,434,OK
2331,Dr. Craig Jast,30000,890,862054405,44,บางเดือน,30,300,530,50,25/1/2019 14:15,14,230,OK
2332,Nadia Schuppe DVM,50000,590,889810867,39,โนนเปือย,20,200,588,53,18/9/2018 22:53,19,388,TX
2333,Norma Howell,25000,590,863380608,48,ห้วยม้า,20,200,530,32,29/10/2018 21:49,28,330,OK
2334,Dr. Vance Labadie Jr.,15000,390,870723273,42,บางชนะ,10,100,493,19,8/7/2018 23:46,32,393,TX
2335,Joe Huel,50000,890,827107712,27,ทุ่งพอ,30,300,795,56,13/6/2018 08:41,0,495,OK
2336,Evangeline Pagac,20000,1090,849511304,50,ตะเสะ,50,500,702,25,6/7/2018 15:37,0,202,OK
2337,Diamond Kassulke,25000,590,870737732,38,แป-ระ,20,200,332,41,15/6/2018 03:07,18,132,OK
2338,Mr. Emil Walsh II,20000,1090,823972001,14,แสนไห,50,500,604,54,29/10/2018 09:24,0,104,OK
2339,Ms. Dandre Rempel III,12000,390,838576283,28,หัวถนน,10,100,170,25,15/3/2018 07:00,18,70,TX
2340,Jennyfer Rau,18000,1090,848306556,49,ศรีสาคร,50,500,142,27,19/4/2018 11:21,0,0,TX
2341,Mr. Zackery Hickle,25000,1090,852785771,17,ตาลชุม,50,500,157,37,15/5/2018 17:28,0,0,TX
2342,Amina Collier III,50000,890,894749347,7,บ่อรัง,30,300,461,30,26/2/2018 07:08,0,161,OK
2343,Mr. Toby Pacocha,50000,590,882420141,42,พันเสา,20,200,341,46,7/2/2019 22:39,22,141,OK
2344,Prof. Ryley Pouros DVM,15000,390,824851258,26,ชอนม่วง,10,100,180,22,14/3/2018 23:29,16,80,OK
2345,Yolanda Murray DVM,12000,890,828003820,16,เนินปอ,30,300,529,15,19/11/2018 16:27,0,229,OK
2346,Tamara Lockman,12000,390,835272598,50,นาดี,10,100,118,21,5/9/2018 03:46,40,18,OK
2347,Tiffany Bednar II,15000,390,828167516,39,นาคำ,10,100,495,27,18/2/2018 00:08,29,395,OK
2348,Dr. Nicolas Orn DVM,20000,1090,815196082,17,แม่ทะลบ,50,500,400,37,9/4/2018 16:41,0,0,OK
2349,Heloise Littel,30000,390,821273519,4,พิกุล,10,100,70,57,13/10/2018 08:40,0,0,OK
2350,Myles Beer,20000,390,817336419,46,คลองยา,10,100,616,41,30/7/2018 10:49,36,516,OK
2351,Marcia Wiza,30000,590,885985405,45,วาริน,20,200,708,43,26/2/2018 14:00,25,508,OK
2352,Ms. Ernestina Conn,50000,390,836342428,39,วังไทร,10,100,520,50,21/9/2018 02:14,29,420,TX
2353,Sheila Bashirian,50000,590,847436742,23,ตะขบ,20,200,364,53,20/7/2018 06:36,3,164,TX
2354,Prof. Ibrahim Abernathy Jr.,20000,1090,866667597,3,รังงาม,50,500,170,50,5/10/2018 21:24,0,0,TX
2355,Winston Smith,20000,590,813940592,48,หนองหลวง,20,200,229,15,18/10/2018 10:27,28,29,OK
2356,Noe Sipes,20000,590,839695136,23,ทุ่งสมอ,20,200,698,31,17/10/2018 00:32,3,498,TX
2357,Eden Zemlak,12000,890,863529839,43,วังน้ำเย็น,30,300,579,27,24/6/2018 05:38,13,279,OK
2358,Alta Ward,20000,1090,864503347,45,หนองบัว,50,500,92,58,14/6/2018 17:12,0,0,TX
2359,Nathan Willms,25000,1090,836277057,18,บางกรูด,50,500,609,44,8/3/2018 13:41,0,109,OK
2360,Jesse Kling,15000,390,848292219,32,โคกคราม,10,100,575,17,15/10/2018 12:34,22,475,TA
2361,Grady Bruen DVM,20000,1090,884051530,7,สระพัฒนา,50,500,557,17,11/2/2018 18:49,0,57,OK
2362,Gunnar Feeney,15000,1090,845752267,34,บ้านถ่อน,50,500,32,24,23/9/2018 02:31,0,0,TX
2363,Xavier Champlin,15000,590,835712520,8,คลองแห,20,200,627,22,20/5/2018 08:50,0,427,TX
2364,Dr. Jules Rutherford I,30000,590,889890710,42,บ้านปทุม,20,200,305,57,5/8/2018 12:32,22,105,TX
2365,Gertrude Carroll,18000,390,874765207,35,ผึ่งแดด,10,100,313,20,22/11/2018 20:59,25,213,OK
2366,Dr. Guiseppe Sanford I,20000,1090,818346811,8,ยางคำ,50,500,197,23,19/4/2018 13:26,0,0,OK
2367,Prof. Elta Mueller,25000,1090,831499583,29,ดู่,50,500,154,54,13/2/2018 10:32,0,0,OK
2368,Dr. Jenifer Breitenberg III,15000,390,845091555,2,หนองแฝก,10,100,197,15,23/10/2018 04:40,0,97,OK
2369,Brant Hermann,20000,1090,888566107,41,กองนาง,50,500,383,34,1/6/2018 14:35,0,0,OK
2370,Mr. Quentin Wolff V,20000,890,819627237,18,น้ำรอบ,30,300,608,43,12/1/2019 13:42,0,308,OK
2371,Mr. Ubaldo Gorczany II,30000,390,848856487,13,สร้างถ่อน้อย,10,100,396,38,11/1/2019 06:10,3,296,OK
2372,Dr. Prince Miller,20000,890,829108134,13,หันสัง,30,300,5,29,14/8/2018 22:11,0,0,OK
2373,Elias Stark,25000,390,874447256,38,กุดชุมแสง,10,100,444,46,19/11/2018 01:22,28,344,TX
2374,Mr. Melvin Fahey,50000,890,818990529,27,ธาตุทอง,30,300,603,51,1/5/2018 19:21,0,303,OK
2375,Prof. Bernie Koepp,25000,1090,843612764,3,วังโรงใหญ่,50,500,297,57,29/3/2018 17:04,0,0,OK
2376,Etha Treutel,50000,1090,818728834,3,เสียว,50,500,115,41,20/2/2018 02:56,0,0,OK
2377,Anita Pouros,25000,890,812102245,10,คลองเขิน,30,300,32,46,4/7/2018 03:11,0,0,OK
2378,Peggie Beatty,25000,390,848646876,28,สามพราน,10,100,81,55,3/3/2018 06:01,18,0,OK
2379,Lambert Tromp,50000,390,864608907,6,สัตหีบ,10,100,694,47,19/8/2018 17:16,0,594,OK
2380,Guido Tromp DVM,20000,1090,856879023,43,เมืองที,50,500,290,20,21/3/2018 08:28,0,0,OK
2381,Bart Goldner,50000,590,844074402,43,หนองตาดใหญ่,20,200,198,59,16/6/2018 06:40,23,0,OK
2382,Miss Domenica Thiel Jr.,50000,590,899708448,25,เหมาะ,20,200,628,34,13/11/2018 03:29,5,428,TX
2383,Raven Beer,25000,590,880089785,30,นาเสียว,20,200,556,56,16/3/2018 04:29,10,356,OK
2384,Marquis Corkery I,30000,590,876786984,11,ผักขวง,20,200,429,55,3/2/2019 03:37,0,229,TX
2385,Dr. Martine Reichert,18000,390,848671622,49,บ้านฝาย,10,100,422,21,17/7/2018 15:22,39,322,TX
2386,Oma Kuphal,20000,1090,830532650,49,ศิลาแลง,50,500,311,35,24/9/2018 08:19,0,0,TX
2387,Golden Schmidt,25000,1090,847848184,11,เขาน้อย,50,500,103,39,22/6/2018 00:03,0,0,TX
2388,Dr. Darren Pfeffer PhD,50000,1090,844499616,16,ดงอีจาน,50,500,227,32,15/2/2018 16:31,0,0,OK
2389,Ramona Schaden,30000,1090,899169206,49,น้ำโสม,50,500,621,41,10/2/2018 21:49,0,121,OK
2390,Dannie Stehr,18000,390,814418376,46,เปือย,10,100,637,17,27/12/2018 19:56,36,537,OK
2391,Aniya Cartwright,20000,1090,896982393,42,ราชสถิตย์,50,500,380,39,8/7/2018 19:10,0,0,OK
2392,Elinor Christiansen,25000,590,865461348,28,ท่ามะเดื่อ,20,200,616,52,12/2/2018 09:31,8,416,OK
2393,Emery Ryan,25000,590,878871604,33,บุญนาคพัฒนา,20,200,415,53,18/4/2018 02:45,13,215,OK
2394,Floy Homenick V,50000,390,860617847,43,สงยาง,10,100,48,56,8/5/2018 11:09,33,0,OK
2395,Mr. Cecil Goldner,50000,890,856946354,27,บ้านไร่,30,300,84,46,10/7/2018 15:25,0,0,OK
2396,Scottie King III,30000,890,834057815,23,ต้นผึ้ง,30,300,628,34,29/6/2018 11:39,0,328,OK
2397,Bill Johnston MD,20000,890,872503295,28,กำพวน,30,300,651,22,2/6/2018 00:34,0,351,TX
2398,Kyla Collier,30000,890,813108618,5,บ้านเพิ่ม,30,300,240,48,27/3/2018 18:53,0,0,TX
2399,Miss Aileen Goyette DDS,25000,1090,852929040,49,ป่างิ้ว,50,500,120,46,19/3/2018 03:07,0,0,OK
2400,Virgil Romaguera II,20000,890,886935251,47,คลองวาฬ,30,300,291,21,18/10/2018 01:06,17,0,TX
2401,Cullen Christiansen PhD,30000,1090,853327796,31,แวงใหญ่,50,500,606,55,18/7/2018 16:27,0,106,TX
2402,Mr. Cruz Kautzer,20000,590,853170556,8,บุ่ง,20,200,98,48,30/3/2018 05:51,0,0,OK
2403,Marcelina Murphy,15000,590,895793303,28,โขมง,20,200,351,26,18/1/2019 17:27,8,151,OK
2404,Geovanny Hagenes MD,20000,390,823200435,24,ทรงคนอง,10,100,46,23,9/11/2018 12:35,14,0,OK
2405,Kelton Dach,25000,390,884992938,41,เขื่อนผาก,10,100,328,36,26/9/2018 18:44,31,228,OK
2406,Mr. Nat Rolfson DDS,25000,590,893595591,34,พรหมสวัสดิ์,20,200,368,56,1/10/2018 10:31,14,168,TX
2407,Camylle Goodwin,30000,1090,873930932,47,ขามป้อม,50,500,202,36,2/5/2018 11:02,0,0,OK
2408,Loy Wisozk,50000,1090,865549848,45,หนองหลวง,50,500,725,56,1/7/2018 07:32,0,225,OK
2409,Wilson Hoeger DVM,12000,1090,891292572,29,พร่อน,50,500,189,26,18/11/2018 05:05,0,0,TX
2410,Felicia Quitzon,50000,590,837523993,18,ตาแกะ,20,200,622,53,11/1/2019 16:40,0,422,OK
2411,Maurine Fisher,50000,890,874137661,12,วังหว้า,30,300,457,37,30/7/2018 12:54,0,157,OK
2412,Hilton Waelchi,20000,890,823682506,34,ชัยเกษม,30,300,235,49,19/7/2018 22:50,4,0,OK
2413,Lambert Rodriguez PhD,50000,890,872300628,7,ศรีนคร,30,300,211,41,19/7/2018 02:42,0,0,OK
2414,Clint Torphy V,15000,1090,888435547,11,ท้ายบ้าน,50,500,217,23,15/7/2018 22:19,0,0,TX
2415,Christopher Towne,30000,890,890522544,4,ยอดแกง,30,300,184,54,9/7/2018 18:28,0,0,OK
2416,Maurice Stoltenberg,20000,590,817638026,18,ราชคราม,20,200,508,17,23/2/2018 07:51,0,308,TA
2417,Mr. Devonte Hirthe,18000,390,847280488,25,ภูเขาทอง,10,100,244,27,7/6/2018 13:13,15,144,TX
2418,Bernie Watsica,50000,1090,834293574,23,ท่าม่วง,50,500,399,55,10/1/2019 18:50,0,0,TX
2419,Sylvia Mills,30000,1090,816896725,4,หนองช้างคืน,50,500,147,57,9/1/2019 02:21,0,0,TX
2420,Eleanore McKenzie,25000,1090,842575606,12,แม่แดด,50,500,553,51,11/3/2018 03:55,0,53,OK
2421,Fernando Ledner,20000,1090,862130544,27,สมอแข,50,500,622,17,16/8/2018 13:59,0,122,OK
2422,Rashawn Rutherford I,20000,890,814393372,4,อ่าวนาง,30,300,242,27,8/10/2018 17:23,0,0,OK
2423,Marcellus Corkery,25000,890,861081428,6,แหลมตะลุมพุก,30,300,318,53,7/11/2018 21:47,0,18,OK
2424,Prof. Jackie Koss,20000,590,897407625,24,นามะเฟือง,20,200,457,47,9/11/2018 02:04,4,257,OK
2425,Lorenza Pfannerstill,30000,1090,890144553,29,จักรสีห์,50,500,114,60,11/1/2019 18:10,0,0,OK
2426,Isabel Murphy,20000,890,851621741,34,สระ,30,300,413,49,20/4/2018 17:57,4,113,OK
2427,Tillman Rath,15000,1090,884065208,44,นาทอน,50,500,259,20,6/7/2018 07:02,0,0,OK
2428,Nannie Goldner,25000,590,812163607,24,บางกระบือ,20,200,591,43,17/9/2018 15:28,4,391,OK
2429,Julien Klein,15000,890,826663284,17,เชียงเคี่ยน,30,300,765,22,21/6/2018 21:17,0,465,OK
2430,Lorine Block,12000,890,877159160,47,หัวตะพาน,30,300,651,15,5/8/2018 05:55,17,351,OK
2431,Theron Wiegand,20000,590,881733568,12,บางตาเถร,20,200,481,51,30/5/2018 11:35,0,281,OK
2432,Gregorio Wisoky,30000,890,862041526,30,ไผ่ขวาง,30,300,466,42,6/2/2019 09:18,0,166,OK
2433,Mr. Allan Metz,50000,890,893856849,1,หนองตาคง,30,300,62,37,21/3/2018 00:46,0,0,OK
2434,Burley Wolff,20000,1090,845460885,36,บางละมุง,50,500,425,23,19/5/2018 18:53,0,0,OK
2435,Clara Little,25000,890,843533821,22,แหลมสัก,30,300,282,32,30/11/2018 05:43,0,0,OK
2436,Meaghan Schaefer,20000,890,863884962,18,คอทราย,30,300,599,41,8/8/2018 14:41,0,299,OK
2437,Jakob Emmerich,50000,390,889273825,21,จอมบึง,10,100,51,39,14/1/2019 09:32,11,0,OK
